,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
145,"Still New York",MAX,3378,https://open.spotify.com/track/4txpZk7WSjV1dsZAw5WYcT
146,寂寞边界,"Nicholas Teo",3367,https://open.spotify.com/track/5fc9bh97TSqSK9SlFf5fUS
147,那些你很冒險的夢,"JJ Lin",3356,https://open.spotify.com/track/5kZDxLcbqglZ2yYXg4Mkjc
148,不為誰而作的歌,"JJ Lin",3343,https://open.spotify.com/track/0VqSdtXseb9khdZrnYVyM1
149,浪費,"LaLa Hsu",3322,https://open.spotify.com/track/3gZ8MaUydTMX27teBh1L22
150,Entertainer,ZAYN,3310,https://open.spotify.com/track/5LTGmestwpHZ1BfCmpFQJx
151,"I'm Yours","Jason Mraz",3286,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
152,"All Falls Down","Alan Walker",3256,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
153,愛我還是他,"David Tao",3251,https://open.spotify.com/track/13bw75oRjvxMv9VGIeM32i
154,"Too Good At Goodbyes","Sam Smith",3222,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
155,Talk,"Why Don't We",3215,https://open.spotify.com/track/4HYNtH7n3TrbbtRa94sA0K
156,Whiplash,R3HAB,3202,https://open.spotify.com/track/0gT7Glb4D2JmmgXqsAZdkU
157,"不將就 (電影""何以笙簫默""片尾曲)","Ronghao Li",3201,https://open.spotify.com/track/5DH8nF7aWoXXg5Sm3gjCWD
158,"Sun In Our Eyes",MØ,3162,https://open.spotify.com/track/5vsRm2aCBl5T2qdpvwtrf6
159,"Capital Letters","Hailee Steinfeld",3159,https://open.spotify.com/track/2bllegdYt2WoYdbRZyJ730
160,Photograph,"Ed Sheeran",3130,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
161,Unlonely,"Jason Mraz",3098,https://open.spotify.com/track/7Igc6JB0xPDcn5yRkkVGQX
162,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",3094,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
163,Perfect,"Ed Sheeran",3088,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
164,"Psycho (feat. Ty Dolla $ign)","Post Malone",3076,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
165,下雨天,"Nan Quan Mama",3065,https://open.spotify.com/track/63Qpnrn403cKcE8Y1N0nx0
166,"New Rules","Dua Lipa",3028,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
167,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",3011,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
168,再見,G.E.M.,3006,https://open.spotify.com/track/5UAGQJmL7Rn4gn7wlkMyqS
169,"KILLING ME",iKON,3005,https://open.spotify.com/track/27kB4qLUCV8nZd2eOgj1Tk
170,我把我的青春給你,好樂團,3000,https://open.spotify.com/track/1XxIOeXiiGEj7DorVnjukG
171,"經過 - 【惹上冷殿下】片尾曲","Nicholas Teo",2992,https://open.spotify.com/track/2miUZSdkKCJCHNonQqQPyi
172,"So Far Away","Martin Garrix",2949,https://open.spotify.com/track/1jLlIo8HA1KdhGiaYaC4j9
173,"Say You Won't Let Go","James Arthur",2941,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
174,"More Than Friends (feat. Meghan Trainor)","Jason Mraz",2914,https://open.spotify.com/track/03VNgdCL9t8aPyvwZecglI
175,"The Scientist",Coldplay,2904,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
176,十年,"Eason Chan",2902,https://open.spotify.com/track/25pWemriUQVrZ3yIiS2IBf
177,我以為,"Victor Wong",2902,https://open.spotify.com/track/6odiUPjUgSSdqTJEcF9uEs
178,"Without You (feat. Sandro Cavazza)",Avicii,2901,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
179,"I Like Me Better",Lauv,2900,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
180,"What is Love?",TWICE,2894,https://open.spotify.com/track/5Ek40FyMPprcvtyZDjqylX
181,"New Light","John Mayer",2876,https://open.spotify.com/track/40FLJc17FMZaPmCQEEZgB0
182,IDGAF,"Dua Lipa",2844,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
183,Stay,Zedd,2811,https://open.spotify.com/track/0I20rLT2MJDhcF96AjbNYo
184,"Never Be the Same","Camila Cabello",2799,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
185,"SoulMate (feat. IU)",Zico,2786,https://open.spotify.com/track/1pz24zu5H9A0S1a2NKT4F0
186,可惜沒如果,"JJ Lin",2773,https://open.spotify.com/track/6WoQzK5Exbfcmow1AoNRkl
187,"LOVE SCENARIO",iKON,2769,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k
188,LATATA,(G)I-DLE,2767,https://open.spotify.com/track/2ezKXygNO30pXyDQXkm6oD
